id,campo,valor_novo,motivo
177,APAGAR,,duplicado do 176
545,APAGAR,,duplicado do 528
548,APAGAR,,duplicado do 522
176,Data Entrada,25/03/2025,data de marco e a correta
522,Valor (R$),20000,preco caiu
522,Data Entrada,14/04/2026,data que estava no 548
547,Data Saída,15/06/2026,dia real
549,Data Saída,17/06/2026,dia real
87,Data Saída,20/06/2026,dia real
569,Data Saída,20/06/2026,dia real
561,Data Saída,30/06/2026,dia real
571,Data Saída,30/06/2026,dia real
565,Data Entrada,22/06/2026,1a passagem da Procaliber
565,Data Saída,29/06/2026,1a passagem da Procaliber
557,Data Saída,25/07/2026,dia real
541,Data Saída,28/07/2026,dia real
576,Data Saída,30/07/2026,dia real
546,Data Saída,07/08/2026,dia real
512,Data Saída,03/04/2026,vendida em abril
537,Data Saída,30/04/2026,vendida em abril
301,Status,Vendido,bloco 7
301,Data Saída,20/05/2026,bloco 7
325,Status,Vendido,bloco 7
325,Data Saída,30/03/2026,bloco 7
524,Status,Vendido,bloco 7
524,Data Saída,18/06/2026,bloco 7
539,Status,Vendido,bloco 7
539,Data Saída,18/05/2026,bloco 7
531,Status,Em estoque,nao foi vendida
531,Data Saída,,nao foi vendida
521,Status,Retirado,dono deu baixa
521,Data Entrada,31/03/2026,bloco 7
551,Item / Produto,Bicicleta seminova road Scott Addict 20,e a Addict 20
544,Valor (R$),79900,promocional
540,Valor (R$),1990,promocional
547,Valor (R$),35000,promocional
549,Valor (R$),55900,promocional
563,Valor (R$),17500,promocional
541,Valor (R$),20900,promocional
576,Valor (R$),17900,promocional
578,Valor (R$),6490,promocional
546,Valor (R$),7990,promocional
590,Valor (R$),37000,promocional
602,Valor (R$),5500,promocional
529,Valor (R$),80,digitacao
530,Valor (R$),180,digitacao
527,Valor (R$),690,digitacao
527,Data Entrada,09/12/2025,data corrigida
510,Valor (R$),100,preco reduzido
337,Valor (R$),800,preco reduzido
523,Data Entrada,28/11/2025,entrada vazia
555,Status,Retirado,dono ficou com as rodas
570,Status,Retirado,dono ficou com as rodas
532,Data Saída,15/05/2026,dia real confirmado
552,Valor (R$),11900,promocional
480,Status,Retirado,devolvida ao dono
480,Data Saída,10/09/2026,devolvida ao dono
518,Valor (R$),18500,preco fechado confirmado
518,Data Saída,15/08/2026,mes confirmado pelo cliente dia estimado
180,Data Entrada,15/10/2025,resposta do documento de reconciliacao
180,Data Saída,30/01/2026,resposta do documento de reconciliacao
280,Data Entrada,02/01/2026,resposta do documento de reconciliacao
280,Data Saída,15/03/2026,resposta do documento de reconciliacao
595,Status,Vendido,planilha da loja marca vendida em 22/08
595,Data Saída,22/08/2026,planilha da loja marca vendida em 22/08
533,Data Saída,06/08/2026,confirmado pelo cairo reuniao 20/09
533,Valor (R$),6500,valor na planilha da loja confirmado pelo cairo
550,Status,Vendido,confirmado pelo cairo reuniao 20/09
550,Data Saída,22/08/2026,data na planilha da loja confirmada pelo cairo
550,Valor (R$),11300,valor na planilha da loja confirmado pelo cairo
577,Status,Vendido,confirmado pelo cairo reuniao 20/09
577,Data Saída,07/08/2026,data na planilha da loja confirmada pelo cairo
589,Status,Vendido,confirmado pelo cairo reuniao 20/09
589,Data Entrada,01/07/2026,entrada estimada inicio do mes para nao colidir com saida
589,Data Saída,15/07/2026,julho confirmado pelo cairo dia 15 estimado
584,Status,Vendido,vendeu 1 unidade confirmado pelo cairo reuniao 20/09
584,Data Saída,15/09/2026,setembro confirmado pelo cairo dia 15 estimado
87,Valor (R$),10000,vendida por r$10.000 confirmado pelo cairo
87,Loja,Online,canal confirmado pelo cairo
623,Loja,Online,canal confirmado pelo cairo
624,Loja,Física,canal confirmado pelo cairo
625,Loja,Online,canal confirmado pelo cairo
576,ID_Cliente,20,proprietario cairo henrique confirmado pelo cairo
576,Proprietário,Cairo Henrique,proprietario confirmado pelo cairo
623,ID_Cliente,210,proprietario leonardo americo confirmado pelo cairo
623,Proprietário,Leonardo Américo,proprietario confirmado pelo cairo
617,ID_Cliente,224,proprietario tiago vieira confirmado pelo cairo
617,Proprietário,Tiago Vieira,proprietario confirmado pelo cairo
618,ID_Cliente,225,proprietario cristian clayder confirmado pelo cairo
618,Proprietário,Cristian Clayder,proprietario confirmado pelo cairo
619,ID_Cliente,226,proprietario leandro guerra confirmado pelo cairo
619,Proprietário,Leandro Guerra,proprietario confirmado pelo cairo
620,ID_Cliente,227,proprietario kaio cesar confirmado pelo cairo
620,Proprietário,Kaio César,proprietario confirmado pelo cairo
574,Data Saída,,em estoque nos tres meses no excel da loja sem marca de saida
584,Observações,vendida 1 unidade das 12; as 11 restantes o cliente retirou,texto antigo contradizia o status vendido
572,Valor (R$),16900,site e excel da loja dizem 16900 contra 26900 na planilha
